id,pos_id,pos_type,address,city,bban,iban,merchant_id,merchant_name,merchant_fee,registered_date,last_update_date
1,FRT226555418,Nixdorf,"Jablonecká 8, 751 62 Lázně Kynžvart",Praha,WMPG80659947960745,GB39FDEL38375659554258,502853340,Dvořáková Beranová s.r.o.,0.26,2007-11-09,2023-04-11
2,GLA879447161,Verifone,"Paťanka 79, 420 16 Osečná",Praha,UPJA92114415975600,GB92PTQD38819271741859,150874212,Doležalová a.s.,0.28,2020-05-28,2023-02-28
3,BCI011172915,Ingenico,"Makedonská 90, 757 33 Horšovský Týn",Brno,JZME71114388186515,GB03VACA60070312388275,994307389,Krejčí Benešová a.s.,0.26,1993-07-03,2023-05-26
4,VHK972942455,Verifone,"Na Šubě 375, 130 55 Miletín",Liberec,HFCC66787431581270,GB90GUAN60818272676745,897680659,Nováková s.r.o.,0.28,2001-09-22,2022-11-07
5,JQD459538828,PAX,"Nábřeží Ludvíka Svobody 5, 421 37 Kladruby",Ostrava,AKYR12150402044575,GB11XZCA33986955617577,677173041,Kolář s.r.o.,0.22,2014-01-29,2023-09-17
6,VJN116673861,Verifone,"Staňkovka 117, 552 37 Zlín",Praha,VTXX75896227572248,GB50URAY54086079559086,221894330,Kučera a.s.,0.29,2015-02-16,2023-07-02
7,OVF474122220,PAX,"Vstupní 26, 445 87 Sezimovo Ústí",Praha,PEEZ38865021219347,GB06JFEF59722946439625,405698193,Šimek Novotný o.s.,0.21,1993-11-01,2023-07-25
8,KPW361079368,Verifone,"Mukařovského 6, 455 02 Ždírec nad Doubravou",Liberec,AKCH69149339294432,GB13JSFQ66670891544196,576646899,Krejčová Vacková a.s.,0.26,2016-05-20,2023-05-29
9,GAU649764127,Verifone,"Slivenecká 909, 307 83 Smiřice",Plzeň,ONAE89692196637992,GB78IHTM88186640615898,673161487,Šťastný Jelínek a.s.,0.21,1999-07-09,2023-04-24
10,RDB866861905,Verifone,"Žilinská 660, 558 20 Planá nad Lužnicí",Plzeň,EBER14846364574522,GB82WNGM87190477328585,148445885,Křížová a.s.,0.27,1994-05-10,2023-06-14
11,ISD057345955,Verifone,"Doubravínova 2, 516 83 Jihlava",Praha,WMZX21945528864701,GB67OVYZ85108923573363,407905933,Kříž Blažek s.r.o.,0.29,1995-12-30,2022-11-04
12,IBA447099536,Nixdorf,"Nad Šancemi 8, 756 18 Vimperk",Ostrava,HJAT54272397374589,GB34KEFQ91912852876842,688929229,Hájková o.s.,0.2,2009-01-24,2023-03-20
13,WRA917836496,PAX,"Snopkova 678, 306 31 Stříbro",Brno,PRDL08985724706620,GB12NKIC70165760718181,843441580,Jelínek s.r.o.,0.26,2010-04-27,2023-04-10
14,XRH171713140,PAX,"Za Pivovarem 462, 177 09 Město Touškov",Ostrava,EGPK52616379638300,GB85ZDEJ85316772419768,923342765,Kučerová,0.22,2016-06-30,2023-03-08
15,BIT636269744,Verifone,"Pod Lochkovem 119, 585 91 Hrochův Týnec",Praha,KAOB35587054563873,GB77LYOS68401896362431,377523605,Bartošová,0.28,2007-02-24,2023-01-05
16,LVP592097333,Ingenico,"Podléšková 7, 393 56 Dubí",Plzeň,MUBR09902187975912,GB40KQHO25860220521614,568367547,Nováková Veselý a.s.,0.21,1995-04-28,2023-04-29
17,UCK520556845,Verifone,"K Přehradám 867, 148 15 Kardašova Řečice",Ostrava,PVBL93301330385666,GB67BBPV08122267608715,770894287,Polák,0.25,1997-10-22,2023-04-30
18,CMD798141927,Nixdorf,"Veronské Nám. 687, 586 66 Fryšták",Praha,CXIK59192139735722,GB70TJKO42752260511441,584057562,Bartošová,0.29,1992-03-26,2022-12-02
19,CKY290183224,Ingenico,"U Nové Dálnice 262, 186 78 Česká Kamenice",Liberec,QQRE26077024416814,GB60FDDV23424176503360,562518294,Kučerová Tichá o.s.,0.29,2011-12-22,2023-03-18
20,YEL757305047,Verifone,"Petříkova 8, 564 74 Štramberk",Ostrava,GMKS03384056653053,GB44TQDT64200339242295,314265277,Pokorná a.s.,0.3,1995-12-02,2023-07-27
21,PFI925350742,Nixdorf,"Za Arielem 682, 779 96 Husinec",Vidnava,OHWC42496411003668,GB07DZFA55517133402405,500895867,Tichá Kadlecová a.s.,0.29,2002-03-22,2023-02-12
22,UWD010049607,PAX,"Staňkovka 147, 372 90 Lovosice",Praha,MZJB24529237918686,GB45HPQQ35031133323835,944705772,Černá,0.26,2020-01-25,2023-02-18
23,QBA574454882,Ingenico,"Josefa Houdka 160, 115 51 Zásmuky",Ostrava,ZNZY65709691061244,GB71LHEI49807189108858,722825833,Novotný,0.29,2018-04-22,2023-03-07
24,YQS064340895,Verifone,"Nad Olšinami 611, 184 94 Konice",Praha,UVBU26901245994633,GB23WZVB34833816786031,988475187,Růžička o.s.,0.2,1992-07-06,2022-10-09
25,BUC450957088,Ingenico,"Plánická 60, 155 21 Ždánice",Brno,JSAX27645874572420,GB77YGDP79666513461900,933397112,Čermáková a.s.,0.22,2006-04-28,2022-11-24
26,TGE837097410,Verifone,"Jablonecká 67, 673 47 Horní Jiřetín",Praha,QQGC60072463435073,GB67TFZA81734198129043,938277877,Kopecká,0.24,2021-04-13,2023-07-26
27,XRT219187736,Ingenico,"Weilova 245, 444 05 Holýšov",Praha,PUGN18058860042129,GB17ATBJ50082003552443,363243213,Soukup Veselá s.r.o.,0.24,2004-07-15,2023-07-18
28,XCW200411616,PAX,"Do Zahrádek Ii 9, 535 95 Třebechovice pod Orebem",Plzeň,VKLZ04634506317769,GB21PVMT48763669620109,139277884,Krejčová,0.24,2014-09-14,2022-10-09
29,QBS751894498,Ingenico,"Malešovská 565, 619 76 Libčice nad Vltavou",Liberec,RNBP12067827581705,GB60XHMQ81970030757415,704297122,Marková,0.29,2006-11-04,2023-01-04
30,IMZ552464822,Ingenico,"Benákova 289, 306 05 Kostelec nad Orlicí",Praha,SRUC51723702729848,GB06QVWV92486238449285,275383197,Veselá Polák a.s.,0.25,2019-02-02,2022-09-19
31,MSH718150333,Ingenico,"U Pumpy 77, 484 66 Kdyně",Ostrava,OTLV77194733821476,GB45URVC56010936557397,957498208,Jandová,0.28,2016-11-07,2023-06-06
32,HXW850807767,Ingenico,"Průškova 82, 298 42 Holice",Ostrava,CVWI27816912733193,GB24ICQD94922514078561,909808600,Beranová s.r.o.,0.21,2011-06-12,2023-02-13
33,AMM873907846,Ingenico,"Brixiho 5, 562 39 Hanušovice",Nasavrky,KZYZ22634618614254,GB91VMOP62264685093971,969011384,Urbanová a.s.,0.21,2003-11-04,2023-04-28
34,SPI362406525,Ingenico,"Sitteho 4, 410 21 Horní Cerekev",Praha,WVLA43217494522901,GB25SAUK75747770060870,157949424,Král s.r.o.,0.24,1997-10-19,2022-10-28
